"repoName","repoLink","repoDescription","repoAuthor","repoAuthorLink","watchersCount","isInactive","isArchived"
"Broad-state","https://github.com/adenekan41/broadstate","Easy state manager for state values from one component to the other with useState and React Hooks in < 1KB! ","@codewonders","https://twitter.com/code_wonders",25,true,false
"Busser","https://github.com/codesplinta/busser","A robust, opinionated, state management option for scalable and precise communication across ReactJS Components. ","@isocroft","https://twitter.com/isocroft",25,false,false
"Nigerian states api","https://github.com/seyi-adeleke/Nigerian-states-api","An api for basic information about all 36 states in Nigeria. ","@seyi__adeleke","https://twitter.com/seyi__adeleke",25,false,false
"Adonis Auth Scaffold","https://github.com/creatrixity/adonis-auth-scaffold","Seamlessly scaffold a ready-to-use authentication system for your Adonis app with one neat command. ","@creatrixity","https://twitter.com/creatrixity",24,true,false
"Githint Bot","https://github.com/Chieze-Franklin/githint-bot","A GitHub bot that ensures that your pull requests follow specified conventions. ","@franklin_chieze","https://twitter.com/franklin_chieze",24,false,false
"Jusibe JavaScript Library","https://github.com/azemoh/jusibe","A JavaScript library for ","@azemoh","https://twitter.com/josh_azemoh",24,false,false
"Laravel Wikipedia","https://github.com/unicodeveloper/laravel-wikipedia","A Wikipedia Package for Laravel 5. ","@unicodeveloper","https://twitter.com/unicodeveloper",24,true,false
"Ngyn.rs","https://github.com/ngyn-rs/ngyn","An opinionated rust framework for building scalable web servers. ","@iamelcharitas","https://twitter.com/iamelcharitas",24,false,false
"Pentecost","https://github.com/knightbenax/Pentecost","Payment Android UI Library for PayStack. ","@knightbenax","https://twitter.com/knightbenax",24,false,false
"Atom Material Palenight Syntax","https://github.com/whizkydee/atom-material-palenight-syntax","🍹🍩 An elegant and juicy material-like theme for Atom. ","@mrolaolu","https://twitter.com/mrolaolu",23,true,false
"Laravel Email Validator","https://github.com/unicodeveloper/laravel-email-validator","Validate email addresses on the fly in Laravel 5. ","@unicodeveloper","https://twitter.com/unicodeveloper",23,true,false
"React Native okra webview","https://github.com/just1and0/React-Native-Okra-Webview","React Native okra sdk. ","@just1and0","https://twitter.com/just1and0",23,false,false
"UseFormBee","https://github.com/Eazybee/useFormBee","useFormBee is a lightweight library that helps me manage and abstract react form logic. ","@Eazybee","https://github.com/Eazybee",23,false,false
"Amazon Pay v2 Ruby SDK","https://github.com/bytenaija/amazon-pay-sdk-ruby","An SDk that makes it easy to integrate amazon pay checkout and instore v2 clients in your ruby/ruby on rails projects. ","@bytenaija","https://twitter.com/bytenaija",22,false,false
"Browsengine","https://github.com/isocroft/browsengine","Rendering Engine Detection Script for Browsers on Any Device. ","@isocroft","https://twitter.com/isocroft",22,false,false
"Dot Music Player","https://github.com/r4sh33d/musicslam","🎧 A light, feature-packed and very customisable material designed Android music player. ","@srasheed","https://twitter.com/srasheed_",22,false,false
"GitProfile Manager","https://github.com/MeNsaaH/git-profile-manager","A git extension to allow you manage multiple git profiles on your workstation with ease. ","@iamMensaah","https://twitter.com/iamMensaah",22,false,true
"Gbowo","https://github.com/adelowo/gbowo","The easiest way to accept payments via Paystack and Amplifypay. ","@Adelowo","https://twitter.com/lanreadelowo",22,true,false
"GeoIP Location","https://github.com/victorybiz/geoip-location","Get the geographical location of website visitors based on their IP addresses. Support Laravel and PHP (Non-Laravel) Project. ","@victoryosayi","https://twitter.com/victoryosayi",22,false,false
"Laravel Feeder","https://github.com/unicodeveloper/laravel-feeder","Laravel 5 Package to extract atom and RSS feeds from any website in a very good readable format. ","@unicodeveloper","https://twitter.com/unicodeveloper",22,true,false
"Multi-tenant Employee Management System","https://github.com/Timtech4u/employee-manager","
","@timtech4u","https://twitter.com/timtech4u",22,true,false
"DuplicateContactsRemover","https://github.com/r4sh33d/DuplicateContactsRemover","📒A simple app to optimize your address book and remove duplicate contacts. ","@srasheed","https://twitter.com/srasheed_",21,false,false
"Notes","https://github.com/rubbieKelvin/notes","Distraction free notes app, minimal at its core. Create and share notes with ease. ","@rubbiekelvin","https://twitter.com/KelvinRubbie",21,false,false
"Unitcss","https://github.com/adenekan41/unitcss","A cli tool to convert css units in your file, helps you swiftly convert units / mesurements in your file or folder. ","@codewonders","https://twitter.com/code_wonders",21,false,false
"URISanity","https://github.com/codesplinta/URISanity","sanitize uris in web and web-like applications with confidence. ","@isocroft","https://twitter.com/isocroft",21,false,false
"web-crawljs","https://github.com/kayslay/web-crawljs","A web crawler package for Nodejs that makes it easy to crawl web pages. ","@Kayslaycode","https://twitter.com/Kayslaycode",21,false,false
"react-hooks-paginator","https://github.com/codenaz/react-paginator","A simple paginator interface for react. ","@codenaz","https://twitter.com/codenaz",20,false,false
"Radixx","https://github.com/isocroft/Radixx","a simple library that implements the Facebook Flux Architecture with a twist to how the entire application state is managed and changed/updated. ","@isocroft","https://twitter.com/isocroft",19,false,false
"sailboat","https://github.com/sailscastshq/sailboat","Sailboat is a VS Code extension that enhances the Sails.js development experience by providing Visual Studio Code users with advanced features such as Commands to quicly access the Sails docs, Jump to Action, and Commands to lift Sails. **By ","",,18,false,false
"Stargazer","https://github.com/kaf-lamed-beyt/stargazer","Get notified when someone stars or ""unstars"" your OSS project. ","@kafLamed","https://twitter.com/kafLamed",18,false,false
"StudyLog","https://github.com/codehakase/studyLog","A tiny web application for Logging streaks and events. ","@codehakase","https://twitter.com/codehakase",18,true,false
"wasmo","https://github.com/appcypher/wasmo","A WebAssembly Compiler and Runtime. ","@theappcypher","https://twitter.com/theappcypher",18,false,false
"adonis-sse","https://github.com/stitchng/adonis-sse","An addon/plugin package to provide server-sent events functionality for AdonisJS 4.0+. ","@isocroft","https://twitter.com/isocroft",17,false,false
"Favico-generator","https://github.com/Youngestdev/favico-generator","A npm module for generating favicons from image. ","@kvng_zeez","http://twitter.com/kvng_zeez",17,true,false
"flair","https://github.com/mezielabs/flair","AdonisJS 5 authentication scaffolding. ","@ammezie","https://twitter.com/ammezie",17,false,false
"ImageQ","https://github.com/bisohns/imageq","Reverse Image search engine powered by Django and Keras. ","@_deven96@mensaah","https://twitter.com/_deven96",17,false,false
"Urley","https://github.com/adenekan41/urley","A cross-platform library with a collection of handy utilities to work with URLs. ","@codewonders","https://twitter.com/code_wonders",17,false,false
"use-cookie","https://github.com/devhammed/use-cookie","Get, Set, Update and Delete Cookie using React Hooks. ","@devhammed","https://profile.codersrank.io/user/devhammed",17,false,false
"WhatsBot","https://github.com/Yusadolat/DicoBot","WhatsApp DicoBot is a dictionary bot that enhances your messaging experience. ","@yusadolat","https://twitter.com/yusadolat",17,false,false
"WhatsBot","https://github.com/Yusadolat/DicoBot","WhatsApp DicoBot is a dictionary bot that enhances your messaging experience. ","@yusadolat","https://twitter.com/yusadolat",17,false,false
"HUI.js","https://github.com/devHammed/HUI.js","Lightweight JavaScript UI Library. ","@devhammed","https://profile.codersrank.io/user/devhammed",16,true,false
"moneywave-nodejs","https://github.com/CodebyOmar/moneywave-nodejs","
","@codebyomar","https://twitter.com/codebyomar",16,false,true
"Button4Android","https://github.com/tdscientist/button4Android","Android button selector generator. ","@tdscientist","https://twitter.com/tdscientist",15,false,false
"Math Alarm Clock","https://github.com/t-regbs/MathAlarm","
","@t-regbs","https://twitter.com/timiaregbs",15,false,false
"MediumUnooficialSDK","https://github.com/KingsMentor/medium-android-sdk-unofficial","
","@kingsmentor","https://twitter.com/kingsmentor",15,true,false
"sms-nigeria-go","https://github.com/D-sense/sms-nigeria-go","A Go client for sending SMS to any Nigeria phone-number with ease. ","@D-sense","https://twitter.com/Delameh",15,true,false
"Angular-tag","https://github.com/theo4u/angular-tag","Tags input directive for AngularJS. ","@theo4me","https://twitter.com/theo4me",14,true,false
"Atom Aurelia snippets","https://github.com/unicodeveloper/atom-aurelia-snippets","A plugin for Atom Editor to autocomplete aurelia snippets when working with Aurelia. ","@unicodeveloper","https://twitter.com/unicodeveloper",14,true,false
"ci-toastr","https://github.com/joshuachinemezu/ci-toastr","Codeigniter package for integrating javascript toastr into your web applications. ","@joshuachinemezu","https://twitter.com/joshuachinemezu",14,false,false
"LaraCaptcha","https://github.com/hendurhance/laracaptcha","A Laravel package to seamlessly use hCapthca or reCaptcha v2 or v3 on your forms or RESTful APIs. ","@hendurhance","https://twitter.com/hendurhance",14,false,false
"Pymvrd","https://github.com/othreecodes/pymvrd","Motor Vehicle Registration Information Search Portal Library for python. ","@othreecodes","https://twitter.com/othreecodes",14,true,false
"Blink Alert","https://github.com/obayomi96/blinkalert","A Chrome Extension for 20-20-20 exercise of the eye. ","@martinsobayomi","https://twitter.com/martinsobayomi",13,false,false
"esgit — easy-git","https://github.com/dillionmegida/esgit","CLI package with simplified aliases for git commands. ","Dillion Megida","https://twitter.com/iamdillion",13,false,false
"Laravel Payant","https://github.com/olaoluwa-98/laravel-payant","Laravel 5 Payant Package. ","@olaoluwa_98","https://twitter.com/olaoluwa_98",13,true,false
"NUBAN Validator/Generator","https://github.com/emyu01/nuban","Easily verify or generate valid account numbers for any Nigerian financial institution. ","@iemyu_","https://twitter.com/iemyu_",13,false,false
"Plugman","https://github.com/ayotycoon/plugman","A Postman like socket testing application. ","@ayotycoon","https://twitter.com/ayotycoon",13,false,false
"status-modal","https://github.com/kaf-lamed-beyt/status-modal","A react component that you can use to render current error or success messages from a particular API endpoint. ","@kafLamed","https://twitter.com/kafLamed",13,false,false
"Frontend-app-starter","https://github.com/D-sense/frontend-app-starter","A simple frontend app starter packed with Webpack, Twitter Bootstrap, and well-defined CSS media queries. Edit. ","@D-sense","https://twitter.com/Delameh",12,true,false
"ImgR","https://github.com/mykeels/ImgR","ImgR.NET aims at automating the process of serving Images dynamically based on the client device. ","@mykeels","https://twitter.com/mykeels",12,true,false
"Instaword","https://github.com/acekyd/instaword","InstaWord is a Chrome and Opera browser plugin that makes learning new words much easier. ","@acekyd","https://twitter.com/ace_kyd",12,true,false
"Cartie","https://github.com/LPMatrix/cartie","A clean shopping cart implementation for Laravel. ","@LPMatrix","https://twitter.com/WeirdMatrix",11,false,false
"Reuq","https://github.com/ifedapoolarewaju/reuq","Frontend Javascript framework. ","@ifedapolarewaju","https://twitter.com/ifedapolarewaju",11,true,false
"sails-hook-jsonwebtoken","https://github.com/Robophil/sails-hook-jsonwebtoken","A sails hook for easily working with jsonwebtoken ","@robophil_","https://twitter.com/robophil_",11,true,false
"Laravel SMTP Validator","https://github.com/samolabams/smtp-validator","Validate SMTP credentials without sending a test mail in Laravel 5. ","@samolabams","https://twitter.com/samolabams",10,true,false
"TinyPress","https://github.com/kehers/tinypress","Create and easily manage your blog on Github. ","@kehers","https://twitter.com/kehers",10,true,false
"Breadcrumb For Codeigniter","https://github.com/iamuchejude/Breadcrumb-for-Codeigniter","A Lightweight Library for generating Breadcrumb in Codeigniter. ","@iamuchejude","https://twitter.com/iamuchejude",9,true,false
"C# Permutation","https://github.com/Oziomajnr/C--Permutation","A library for permutating C# objects. ","@oziomajnr@mykeels","https://twitter.com/Oziomajnr",9,true,false
"MLog","https://github.com/mykeels/MLog","
","@mykeels","https://twitter.com/mykeels",9,true,false
"Modern-Mean-Stack","https://github.com/Mozartted/Modern-Mean-Stack","
","@mozartted","https://github.com/Mozartted",9,true,false
"React-Raise","https://github.com/andela-iamao/react-raise","A cli kit for creating react applications. ","@ash__amao","https://twitter.com/ash__amao",9,true,false
"TweetThreader","https://github.com/Udokah/tweet-threader","A tool to create threads on Twitter. ","@thisisudo","https://twitter.com/thisisudo",9,true,false
"Laravel Codepen","https://github.com/unicodeveloper/laravel-codepen","A Codepen Package for Laravel 5. ","@unicodeveloper","https://twitter.com/unicodeveloper",8,true,false
"Laravel Jusibe","https://github.com/unicodeveloper/laravel-jusibe","Laravel 5 package for Jusibe SMS Service. ","@unicodeveloper","https://twitter.com/unicodeveloper",8,true,false
"WAFEDA","https://github.com/adejumoridwan/WAFEDA","Simple Web App For Exploratory Data Analysis. ","@abuuAishaaa","https://twitter.com/abuuAishaaa",8,false,false
"dumb_password_rails","https://github.com/arinzeokeke/dumb_password_rails","Rails Password Validator. Validate your user passwords and prevent them from using vulnerable passwords. ","@arinzeokeke","https://www.github.com/arinzeokeke",7,true,false
"Linda ORM","https://github.com/solutionstack/Linda","A lightweight and fast Active-record based ORM for PHP. ","@solutionstack","https://github.com/solutionstack",7,true,false
"Angular2-Sails-starter-pack","https://github.com/Mozartted/Angular2-Sails-starter-pack","A starter pack for angular2 based projects using sails backend, integrating hot reload functionalities. ","@mozartted","https://twitter.com/mozartted",6,true,false
"Bloc Node","https://github.com/D-Lite/bloc-node","The first Bloc API wrapper 🚀🚀🚀 The Bloc-Node library provides convenient access to the Bloc API. ","@danielolabemiwo","https://twitter.com/danielolabemiwo",5,false,false
"No-CAPTCHA-reCAPTCHA","https://github.com/collizo4sky/No-CAPTCHA-reCAPTCHA","Protect WordPress login, registration and comment form from spam with the new No CAPTCHA reCAPTCHA. ","@w3guy","https://twitter.com/w3guy",3,true,false
"Suet","https://github.com/kehers/suet","Detailed analytics and reporting for your transactional Mailgun emails. ","@kehers","https://twitter.com/kehers",3,true,false
"Ijeawele","https://github.com/viclotana/Ijeawele","A Browser Extension that displays a random suggestion from the Dear Ijeawele book by Chimamanda Adichie. ","@viclotana","https://twitter.com/viclotana",2,true,false
"H.php","https://github.com/devHammed/H.php","The Minimalist PHP Framework! ","@devhammed","https://profile.codersrank.io/user/devhammed",,false,false
"MarkedIt","https://github.com/christiannwamba/markedit","
","@codebeast","https://twitter.com/codebeast",,true,false
"Nodestorage.js","https://github.com/iamuchejude/nodestorage.js","File system storage utility with ","@iamuchejude","https://twitter.com/iamuchejude",,false,false
"react-multi-state","https://github.com/whizkydee/react-multi-state","Declarative, simplified way to handle complex local state with hooks. ","@mrolaolu","https://twitter.com/mrolaolu",,false,false
